"","Lookup","company","rank","sector","Ticker","tech_count_2013","tech_count_2014","tech_count_2015","tech_count_2016","tech_count_2017","tech_count_2018","tech_count_2019","tech_count_2020","tech_count_2021","tech_count_2022","misleading_counts"
"1","1800flowers.com","1-800-Flowers.com",997,"Retailing","FLWS",79,153,156,169,188,237,284,358,353,352,FALSE
"2","3m.com","3M",102,"Chemicals","MMM",13,13,22,128,198,291,319,363,379,457,FALSE
"3","53.com","Fifth Third Bancorp",415,"Financials","FITB",0,0,0,57,105,146,179,221,221,278,FALSE
"4","aa.com","American Airlines Group",114,"Transportation","AAL",1,1,1,136,137,174,242,264,257,355,FALSE
"5","aam.com","American Axle & Manufacturing",587,"Motor Vehicles & Parts","AXL",22,25,32,33,78,73,91,112,116,144,FALSE
"6","abbott.com","Abbott Laboratories",86,"Health Care","ABT",44,61,80,98,128,185,226,236,243,327,FALSE
"7","abbvie.com","AbbVie",63,"Health Care","ABBV",20,28,33,67,94,153,176,196,197,290,FALSE
"8","abc.xyz","Alphabet",8,"Technology","GOOGL",0,0,12,13,18,24,19,21,21,22,FALSE
"9","abercrombie.com","Abercrombie & Fitch",725,"Retailing","ANF",60,111,105,127,160,141,99,93,124,88,FALSE
"10","abm.com","ABM Industries",510,"Business Services","ABM",38,56,80,120,116,158,183,221,254,300,FALSE
"11","about.underarmour.com","Under Armour",546,"Apparel","UAA",0,0,0,0,0,0,0,0,0,0,FALSE
"12","aboutschwab.com","Charles Schwab",188,"Financials","SCHW",33,40,40,45,47,62,91,120,98,96,FALSE
"13","academy.com","Academy Sports and Outdoors",481,"Retailing","ASO",32,45,58,72,95,120,161,221,237,228,FALSE
"14","acadiahealthcare.com","Acadia Healthcare",944,"Health Care","ACHC",42,46,54,59,50,50,62,98,90,102,FALSE
"15","activisionblizzard.com","Activision Blizzard",396,"Media","ATVI",27,31,40,34,47,53,87,131,174,158,FALSE
